Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/27/14,WE6,113.26,25.59,8.75,6.55
6/16/14,WE6,57.36,15.56,1.34,2.04
6/30/14,WE6,81.27,35.74,4.35,3.88
7/8/14,WE6,80.82,16.68,7.27,3.95
7/14/14,WE6,59.31,32.01,29.95,2.73
7/21/14,WE6,80.22,8.31,2.13,1.65
7/29/14,WE6,104.04,10.3,0.04,1.43
8/4/14,WE6,62.19,6.71,1.82,0.29
8/11/14,WE6,133.03,6.17,4.02,0.22
8/18/14,WE6,149.98,9,2.37,0.002
8/25/14,WE6,114.08,11.5,2.37,0.02
9/2/14,WE6,141.23,9.27,4.78,0.04
9/8/14,WE6,97.53,0,1.47,0.06
9/15/14,WE6,101.56,71.5,201.69,0.4
9/23/14,WE6,62.62,33.19,15.92,0.2
9/29/14,WE6,67.47,6.79,0.1,0.14
10/6/14,WE6,128.71,7.87,0.4,0.37
10/15/14,WE6,64.29,6.82,2.37,0.15
10/20/14,WE6,83.82,15.92,6.71,0.43
10/27/14,WE6,47.29,16.71,8.13,0.23
6/8/15,WE6,83.97,72.73,111.88,3.31
6/18/15,WE6,242.34,173.21,48.07,7.43
6/22/15,WE6,230.34,194,96.49,4.22
6/29/15,WE6,202.96,132.97,94.51,3.28
7/6/15,WE6,179.8,121.15,4.47,3.26
7/13/15,WE6,142.74,98.11,23.58,2.9
7/20/15,WE6,172.8,151.35,67.45,2.44
7/27/15,WE6,154.25,126.84,51.2,1.76
8/4/15,WE6,135.58,96.06,45.88,1.56
8/10/15,WE6,614.39,72.88,2.36,1.04
8/17/15,WE6,77.84,10.44,1.76,0.18
8/24/15,WE6,80.2,10.48,1.04,0.002
8/31/15,WE6,76.84,11.46,0.9,0
9/8/15,WE6,102.04,14.78,1.55,0.03
9/14/15,WE6,97.05,34.97,0.27,0.002
9/28/15,WE6,77.58,9.91,2.26,0.03
10/5/15,WE6,685.79,78.49,45.86,0.37
10/14/15,WE6,33.03,17.14,23.21,0.37
5/31/16,WE6,90.1,19.4,49.1,2.46
6/13/16,WE6,202.3,21,7.4,1.73
6/27/16,WE6,253.8,67.2,134.1,1.58
7/5/16,WE6,63.4,11.4,36.5,2.96
7/11/16,WE6,101.6,18.7,24,4.81
7/18/16,WE6,92.2,9.7,13.7,1.55
7/25/16,WE6,101,12.3,35.3,2.29
8/1/16,WE6,199.6,8.3,9.6,1.22
8/9/16,WE6,104.1,5.8,2.5,0.29
8/15/16,WE6,176.2,6.4,3.5,0.01
8/22/16,WE6,280,5.7,54.3,0.002
8/29/16,WE6,102.9,7.8,16.3,0.002
9/6/16,WE6,112.5,17.2,3.3,0.19
9/12/16,WE6,93.8,19,8.8,0.05
9/19/16,WE6,66.7,15,2.6,0.06
9/28/16,WE6,60,23.7,49,0.19
10/3/16,WE6,69.1,37.4,74.2,0.29
10/11/16,WE6,60.6,27.9,24.8,0.32
10/17/16,WE6,51.1,41.4,46.2,0.58
4/25/17,WE6,325.19,76.65,277.85,3.99
5/8/17,WE6,677.47,104.85,160.35,4.72
5/30/17,WE6,198.48,112.21,90.77,5.01
6/12/17,WE6,147.15,108.6,114.07,4.6
6/26/17,WE6,74.85,46.91,133.79,2.38
7/5/17,WE6,86.15,57.54,95.15,4.45
7/11/17,WE6,116.37,88.56,125.12,5.83
7/17/17,WE6,252.64,124.59,113.51,5.33
7/24/17,WE6,164.95,32.74,93.2,3.7
7/31/17,WE6,185.6,59.61,101.35,3.18
8/7/17,WE6,60.48,40.78,28.72,1.84
8/14/17,WE6,82.45,17.26,13.34,1.37
8/21/17,WE6,100.22,8.97,5.55,0.36
8/28/17,WE6,94.06,7.57,12.59,0.04
9/5/17,WE6,92.07,14.36,219.78,0.41
9/11/17,WE6,66.63,9.78,9.33,0.18
9/18/17,WE6,50.09,6.62,6.24,0.002
9/25/17,WE6,42.99,7.21,22.42,0.05
10/2/17,WE6,99.63,7.95,6.44,0.05
10/10/17,WE6,68.9,17.13,11.68,0.01
10/16/17,WE6,112.37,41.17,144.06,0.36
5/21/18,WE6,120.02,34.78,53.79,2.32
6/12/18,WE6,109.88,17.43,5.98,1.63
7/2/18,WE6,80,18.69,7.61,4.26
7/9/18,WE6,64.78,11.91,5.72,2.8
7/16/18,WE6,32.88,5.8,45.15,1.48
7/23/18,WE6,64.6,6.44,3.73,1.43
7/30/18,WE6,34.77,5.91,3.74,1.02
8/6/18,WE6,50.67,9.18,16.08,1.39
8/13/18,WE6,47.49,9,5.82,0.62
8/20/18,WE6,59.04,10.85,3.32,0.28
8/27/18,WE6,84.28,13.22,3.04,0.21
9/4/18,WE6,69.87,14.28,2.87,0.1
9/11/18,WE6,147.1,70.1,48.19,1.28
9/17/18,WE6,78.57,27.62,3.67,0.41
10/1/18,WE6,76.533,40.1125,26.62,0.65
