Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/15/12,WE8,23.16,6.01,11.28,0.51
5/31/12,WE8,42.54,18.68,52.14,0.59
6/22/12,WE8,26.61,17.85,43.12,0.45
7/12/12,WE8,29.41,7.69,4.85,0.07
7/23/12,WE8,41.92,19.68,17.67,0.02
7/31/12,WE8,51.06,9.91,0.04,0.4
8/6/12,WE8,56.77,7.84,0.68,0.44
8/13/12,WE8,94.16,7.86,1.15,0.002
8/20/12,WE8,48.66,9.24,1.29,0.002
8/29/12,WE8,42.31,10,67.27,0.06
9/5/12,WE8,75.2,21.99,135.8,0.09
9/12/12,WE8,91.01,15.17,0.43,0.4
9/17/12,WE8,60.99,15.4,2.21,0.002
5/29/13,WE8,37.85,18.68,40.25,2.11
6/10/13,WE8,48.33,15.9,23.02,1.06
6/17/13,WE8,15.38,5.92,32.27,0.89
6/24/13,WE8,25.17,15.45,56.67,1.97
7/3/13,WE8,47.14,33.35,71.04,2.4
7/8/13,WE8,48.14,38.41,38.21,3.55
7/15/13,WE8,41.59,23.3,15.2,2.13
7/22/13,WE8,42.04,24.12,81.68,2.16
7/29/13,WE8,61.77,38.88,18.39,2.82
8/5/13,WE8,55.17,9.52,3.1,1.57
8/12/13,WE8,162.49,7.19,4.88,1.33
8/19/13,WE8,65.44,7.24,1.63,0.95
8/26/13,WE8,65.89,6.37,2.29,0.72
9/3/13,WE8,79.92,4.47,0.59,0.45
9/10/13,WE8,119.8,5.66,0.87,0.12
9/17/13,WE8,98.96,5.12,1.22,0.01
9/23/13,WE8,80.55,2.67,1.57,0.02
10/15/13,WE8,105.38,8.48,0.04,0.01
10/21/13,WE8,80.53,24.24,89.18,0.25
5/27/14,WE8,18.17,5.48,4.57,0.76
6/16/14,WE8,55.06,37.32,102.92,2
6/30/14,WE8,69.52,19.69,4.62,3.05
7/8/14,WE8,27.99,16.14,40.56,0.47
7/14/14,WE8,28.19,16.18,52.4,1.21
7/21/14,WE8,28.89,9.2,7.7,0.6
7/29/14,WE8,50.35,6.91,0.04,0.43
8/4/14,WE8,40.07,4.88,1.31,0.09
8/11/14,WE8,80.38,7.93,9.14,0.02
8/18/14,WE8,66.93,7.38,1.85,0
8/25/14,WE8,65.61,11.81,1.84,0.02
9/2/14,WE8,104.04,10.7,5.84,0.05
9/8/14,WE8,82.51,17.6,1.88,0.07
9/15/14,WE8,64.24,22.77,10.13,0.15
9/23/14,WE8,110.77,13.65,0.04,0.15
9/29/14,WE8,178.74,6.89,0.04,0.14
10/6/14,WE8,74.18,15.61,3.8,0.15
10/15/14,WE8,1393.59,7.98,0.4,0.14
10/20/14,WE8,81.61,9.5,4.49,0.15
10/27/14,WE8,25.25,17.76,8.85,0.15
11/3/14,WE8,61.57,25.18,41.37,0.18
6/8/15,WE8,47.77,40.62,90.69,2.38
6/18/15,WE8,78.67,74.01,105.55,4.18
6/22/15,WE8,156.32,273.58,86.21,4.52
6/29/15,WE8,52.33,20.61,45.59,0.73
7/6/15,WE8,97.03,35.53,4.88,2.6
7/13/15,WE8,118.61,80.48,75.42,3
7/20/15,WE8,142.71,105.79,11.25,2.96
7/27/15,WE8,117.36,49.7,6.43,1.86
8/4/15,WE8,99.44,25.28,6.6,0.97
8/10/15,WE8,2482.24,12.33,2.93,0.03
8/17/15,WE8,39.84,6.61,0.41,0
8/25/15,WE8,61.32,8.7,0.58,0
8/31/15,WE8,76.16,11,0.67,0
9/8/15,WE8,58.44,9.33,0.72,0.05
9/14/15,WE8,61.35,24.44,0.4,0.002
9/21/15,WE8,60.78,13.77,0.4,0.002
9/28/15,WE8,60.74,20.6,0.4,0.01
10/5/15,WE8,49.3,10.26,42.35,0.48
10/14/15,WE8,15.18,7.79,20.02,0.4
10/19/15,WE8,30.32,12.77,18.26,0.4
5/31/16,WE8,23.6,9.8,41.5,1.58
6/13/16,WE8,43.6,21.4,38.9,1.02
6/27/16,WE8,29.4,7.1,54.3,0.77
7/5/16,WE8,23.8,6.4,47.1,0.6
7/11/16,WE8,45.6,6.7,17.9,0.63
7/18/16,WE8,49.9,8.7,40.8,0.62
7/25/16,WE8,39.1,7.2,13.6,0.65
8/1/16,WE8,43,4.5,11.5,0.13
8/9/16,WE8,108.8,7,3,0.06
8/15/16,WE8,95.7,4.8,11.4,0.01
8/22/16,WE8,131.9,4.9,5,0.002
8/29/16,WE8,61.6,13.1,5.8,0.002
9/6/16,WE8,110.4,23.9,20.7,0.04
9/12/16,WE8,76.8,37.4,42.7,0.1
9/19/16,WE8,50,16.6,0.4,0.02
9/28/16,WE8,64.9,27,37,0
10/3/16,WE8,54.4,28.5,73.8,0.16
10/11/16,WE8,59.6,29,4.3,0.19
10/17/16,WE8,46.2,32,26,0.25
3/23/17,WE8,49.18,22.73,167.29,0.96
4/25/17,WE8,89.83,23.64,328.69,1.07
5/8/17,WE8,76.38,23.85,100.11,1.76
5/30/17,WE8,62.95,13.42,23.94,2.99
6/12/17,WE8,29.23,14.21,67.69,1.36
6/26/17,WE8,14.87,4.46,28.74,0.98
7/5/17,WE8,17.88,7.46,22.45,0.66
7/11/17,WE8,27.18,12.26,63.03,0.98
7/17/17,WE8,76.97,46.59,67.23,3.96
7/24/17,WE8,82.28,44.23,15.64,3.42
7/31/17,WE8,77.7,17.4,18.05,2.81
8/7/17,WE8,61.6,9.66,37.52,0.98
8/14/17,WE8,43.81,8.65,12.14,1.14
8/21/17,WE8,45.38,6.75,6.44,0.7
8/28/17,WE8,55.62,6.4,5.81,0.41
9/5/17,WE8,88.89,8.28,19.14,0.28
9/11/17,WE8,53.6,3.59,9,0.17
9/18/17,WE8,30.81,3.44,13.66,0.01
9/25/17,WE8,25.51,16.37,4.97,0.1
10/2/17,WE8,53.89,4.02,4.22,0.02
10/10/17,WE8,50.01,19.2,5.9,0.01
10/16/17,WE8,26.66,13.19,45.57,0.3
