Date,WaterTemp
1/1/11,33.368
1/2/11,33.044
1/3/11,34.43
1/4/11,33.494
1/5/11,34.25
1/6/11,33.908
1/7/11,33.638
1/8/11,33.494
1/9/11,33.08
1/10/11,33.134
1/11/11,33.152
1/12/11,33.062
1/13/11,33.044
1/14/11,32.846
1/15/11,32.36
1/16/11,32.846
1/17/11,32.36
1/18/11,32.666
1/19/11,32.666
1/20/11,32.594
1/21/11,32.648
1/22/11,32.576
1/23/11,32.468
1/24/11,32.36
1/25/11,32.36
1/26/11,32.36
1/27/11,32.36
1/28/11,32.36
1/29/11,32.36
1/30/11,32.36
1/31/11,32.36
2/1/11,32.36
2/2/11,32.36
2/3/11,32.36
2/4/11,32.36
2/5/11,32.36
2/6/11,32.36
2/7/11,32.36
2/8/11,32.36
2/9/11,32.36
2/10/11,32.36
2/11/11,32.36
2/12/11,32.36
2/13/11,32.36
2/14/11,32.36
2/15/11,32.486
2/16/11,32.54
2/17/11,32.36
2/18/11,32.36
2/19/11,32.756
2/20/11,32.792
2/21/11,32.774
2/22/11,32.72
2/23/11,32.36
2/24/11,32.36
2/25/11,32.36
2/26/11,32.36
2/27/11,32.36
2/28/11,32.36
3/1/11,32.36
3/2/11,32.36
3/3/11,32.36
3/4/11,32.36
3/5/11,32.36
3/6/11,32.36
3/7/11,32.36
3/8/11,32.36
3/9/11,32.36
3/10/11,32.36
3/11/11,32.36
3/12/11,32.36
3/13/11,32.36
3/14/11,32.36
3/15/11,32.36
3/16/11,32.36
3/17/11,32.36
3/18/11,33.062
3/19/11,32.954
3/20/11,33.674
3/21/11,33.62
3/22/11,33.764
3/23/11,33.944
3/24/11,32.36
3/25/11,33.026
3/26/11,32.756
3/27/11,33.872
3/28/11,33.998
3/29/11,34.358
3/30/11,34.394
3/31/11,34.412
4/1/11,34.592
4/2/11,34.754
4/3/11,35.132
4/4/11,35.708
4/5/11,36.194
4/6/11,36.77
4/7/11,37.562
4/8/11,38.048
4/9/11,38.3
4/10/11,38.408
4/11/11,38.3
4/12/11,38.3
4/13/11,38.282
4/14/11,38.48
4/15/11,38.642
4/16/11,38.804
4/17/11,38.93
4/18/11,39.146
4/19/11,39.416
4/20/11,39.848
4/21/11,40.244
4/22/11,40.46
4/23/11,40.838
4/24/11,41.18
4/25/11,41.828
4/26/11,42.314
4/27/11,42.548
4/28/11,42.854
4/29/11,42.98
4/30/11,42.98
5/1/11,43.664
5/2/11,44.366
5/3/11,44.564
5/4/11,44.528
5/5/11,44.708
5/6/11,45.41
5/7/11,46.4
5/8/11,47.03
5/9/11,47.372
5/10/11,47.462
5/11/11,47.516
5/12/11,48.218
5/13/11,49.19
5/14/11,49.496
5/15/11,50.234
5/16/11,51.044
5/17/11,51.656
5/18/11,52.16
5/19/11,52.52
5/20/11,52.88
5/21/11,54.14
5/22/11,55.742
5/23/11,55.868
5/24/11,55.472
5/25/11,56.03
5/26/11,57.794
5/27/11,59.594
5/28/11,60.746
5/29/11,61.754
5/30/11,62.96
5/31/11,63.41
6/1/11,61.682
6/2/11,60.296
6/3/11,60.746
6/4/11,62.168
6/5/11,64.022
6/6/11,65.714
6/7/11,66.236
6/8/11,66.56
6/9/11,66.164
6/10/11,65.048
6/11/11,64.454
6/12/11,63.914
6/13/11,63.446
6/14/11,63.374
6/15/11,63.608
6/16/11,64.292
6/17/11,64.994
6/18/11,65.84
6/19/11,66.128
6/20/11,66.074
6/21/11,66.506
6/22/11,67.172
6/23/11,67.442
6/24/11,67.568
6/25/11,67.748
6/26/11,67.838
6/27/11,67.928
6/28/11,68.018
